tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 00:09:47,01/01/2020 00:23:42,0,1.2,No,48,50,10,4.1
01/01/2020 00:59:50,01/01/2020 01:31:21,1,0,No,60,68,34.2,0
07/01/2020 14:24:09,07/01/2020 14:24:24,1,0,No,145,145,2.5,0
01/01/2020 00:23:48,01/01/2020 00:30:42,0,1.1,No,186,234,6.5,1
01/01/2020 00:50:28,01/01/2020 00:50:34,2,0,No,79,79,-52,0
07/01/2020 14:28:58,07/01/2020 14:30:14,2,0,No,193,193,3,0.08
01/01/2020 00:40:32,01/01/2020 00:45:01,0,0.8,No,229,161,5.5,0
01/01/2020 00:32:58,01/01/2020 00:41:58,0,1.2,No,249,234,7.5,2.25
01/01/2020 00:48:06,01/01/2020 00:53:41,0,0.9,No,107,79,5.5,2.75
01/01/2020 00:55:46,01/01/2020 01:19:02,0,6.3,No,79,263,22,2.5
01/01/2020 00:00:41,01/01/2020 00:16:23,0,2.2,No,90,4,11.5,3.8
01/01/2020 00:36:19,01/01/2020 01:06:03,0,4.8,No,161,166,22,5.15
01/01/2020 00:46:18,01/01/2020 00:47:05,3,0,No,162,162,62,12.45
01/01/2020 00:17:45,01/01/2020 00:20:55,1,0.03,No,186,186,-4,0
01/01/2020 00:30:14,01/01/2020 00:35:15,1,0.72,No,141,140,-5,0
01/01/2020 00:26:03,01/01/2020 00:43:08,0,5.8,No,43,148,19.5,0
01/01/2020 00:46:45,01/01/2020 01:16:14,0,4.4,No,148,48,20.5,4.85
01/01/2020 00:07:27,01/01/2020 00:23:08,0,4.6,No,161,42,15.5,0
01/01/2020 00:54:34,01/01/2020 01:06:04,0,2.1,No,226,82,10,0
01/01/2020 00:21:56,01/01/2020 00:26:33,0,0.7,No,152,152,5,0
01/01/2020 00:30:42,01/01/2020 00:32:53,0,0.4,No,166,41,3.5,0.95
01/01/2020 00:42:11,01/01/2020 00:49:02,0,1.3,No,238,236,7,0
01/01/2020 00:11:38,01/01/2020 00:12:25,1,0,No,264,264,60,6.55
01/01/2020 00:14:15,01/01/2020 00:26:39,1,2.25,No,231,107,-10.5,0
